building_1,location_1,location_2,building_2,assignment
1022,2036,3036,4033,1.0
1022,2036,3036,4034,1.0
1022,2036,3036,4035,1.0
1022,2036,3036,4036,1.0
1022,2036,3036,4037,1.0
1022,2036,3036,4038,1.0
1022,2036,3036,4039,1.0
1022,2036,3036,4040,1.0
1023,2036,3036,4001,1.0
1023,2036,3036,4002,1.0
1023,2036,3036,4003,1.0
1023,2036,3036,4004,1.0
1023,2036,3036,4005,1.0
1023,2036,3036,4006,1.0
1023,2036,3036,4007,1.0
1023,2036,3036,4008,1.0
1023,2036,3036,4009,1.0
1023,2036,3036,4010,1.0
1023,2036,3036,4011,1.0
1023,2036,3036,4012,1.0
1023,2036,3036,4013,1.0
1023,2036,3036,4014,1.0
1023,2036,3036,4015,1.0
1023,2036,3036,4016,1.0
1023,2036,3036,4017,1.0
1023,2036,3036,4018,1.0
1023,2036,3036,4019,1.0
1023,2036,3036,4020,1.0
1023,2036,3036,4021,1.0
1023,2036,3036,4022,1.0
1023,2036,3036,4023,1.0
1023,2036,3036,4024,1.0
1023,2036,3036,4025,1.0
1023,2036,3036,4026,1.0
1023,2036,3036,4027,1.0
1023,2036,3036,4028,1.0
1023,2036,3036,4029,1.0
1023,2036,3036,4030,1.0
1023,2036,3036,4031,1.0
1023,2036,3036,4032,1.0
1023,2036,3036,4033,1.0
1023,2036,3036,4034,1.0
1023,2036,3036,4035,1.0
1023,2036,3036,4036,1.0
1023,2036,3036,4037,1.0
1023,2036,3036,4038,1.0
1023,2036,3036,4039,1.0
1023,2036,3036,4040,1.0
1024,2036,3036,4001,1.0
1024,2036,3036,4002,1.0
1024,2036,3036,4003,1.0
1024,2036,3036,4004,1.0
1024,2036,3036,4005,1.0
1024,2036,3036,4006,1.0
1024,2036,3036,4007,1.0
1024,2036,3036,4008,1.0
1024,2036,3036,4009,1.0
1024,2036,3036,4010,1.0
1024,2036,3036,4011,1.0
1024,2036,3036,4012,1.0
1024,2036,3036,4013,1.0
1024,2036,3036,4014,1.0
1024,2036,3036,4015,1.0
1024,2036,3036,4016,1.0
1024,2036,3036,4017,1.0
1024,2036,3036,4018,1.0
1024,2036,3036,4019,1.0
1024,2036,3036,4020,1.0
1024,2036,3036,4021,1.0
1024,2036,3036,4022,1.0
1024,2036,3036,4023,1.0
1024,2036,3036,4024,1.0
1024,2036,3036,4025,1.0
1024,2036,3036,4026,1.0
1024,2036,3036,4027,1.0
1024,2036,3036,4028,1.0
1024,2036,3036,4029,1.0
1024,2036,3036,4030,1.0
1024,2036,3036,4031,1.0
1024,2036,3036,4032,1.0
1024,2036,3036,4033,1.0
1024,2036,3036,4034,1.0
1024,2036,3036,4035,1.0
1024,2036,3036,4036,1.0
1024,2036,3036,4037,1.0
1024,2036,3036,4038,1.0
1024,2036,3036,4039,1.0
1024,2036,3036,4040,1.0
1025,2036,3036,4001,1.0
1025,2036,3036,4002,1.0
1025,2036,3036,4003,1.0
1025,2036,3036,4004,1.0
1025,2036,3036,4005,1.0
1025,2036,3036,4006,1.0
1025,2036,3036,4007,1.0
1025,2036,3036,4008,1.0
1025,2036,3036,4009,1.0
1025,2036,3036,4010,1.0
1025,2036,3036,4011,1.0
1025,2036,3036,4012,1.0
1025,2036,3036,4013,1.0
1025,2036,3036,4014,1.0
1025,2036,3036,4015,1.0
1025,2036,3036,4016,1.0
1025,2036,3036,4017,1.0
1025,2036,3036,4018,1.0
1025,2036,3036,4019,1.0
1025,2036,3036,4020,1.0
1025,2036,3036,4021,1.0
1025,2036,3036,4022,1.0
1025,2036,3036,4023,1.0
1025,2036,3036,4024,1.0
1025,2036,3036,4025,1.0
1025,2036,3036,4026,1.0
1025,2036,3036,4027,1.0
1025,2036,3036,4028,1.0
1025,2036,3036,4029,1.0
1025,2036,3036,4030,1.0
1025,2036,3036,4031,1.0
1025,2036,3036,4032,1.0
1025,2036,3036,4033,1.0
1025,2036,3036,4034,1.0
1025,2036,3036,4035,1.0
1025,2036,3036,4036,1.0
1025,2036,3036,4037,1.0
1025,2036,3036,4038,1.0
1025,2036,3036,4039,1.0
1025,2036,3036,4040,1.0
1026,2036,3036,4001,1.0
1026,2036,3036,4002,1.0
1026,2036,3036,4003,1.0
1026,2036,3036,4004,1.0
1026,2036,3036,4005,1.0
1026,2036,3036,4006,1.0
1026,2036,3036,4007,1.0
1026,2036,3036,4008,1.0
1026,2036,3036,4009,1.0
1026,2036,3036,4010,1.0
1026,2036,3036,4011,1.0
1026,2036,3036,4012,1.0
1026,2036,3036,4013,1.0
1026,2036,3036,4014,1.0
1026,2036,3036,4015,1.0
1026,2036,3036,4016,1.0
1026,2036,3036,4017,1.0
1026,2036,3036,4018,1.0
1026,2036,3036,4019,1.0
1026,2036,3036,4020,1.0
1026,2036,3036,4021,1.0
1026,2036,3036,4022,1.0
1026,2036,3036,4023,1.0
1026,2036,3036,4024,1.0
1026,2036,3036,4025,1.0
1026,2036,3036,4026,1.0
1026,2036,3036,4027,1.0
1026,2036,3036,4028,1.0
1026,2036,3036,4029,1.0
1026,2036,3036,4030,1.0
1026,2036,3036,4031,1.0
1026,2036,3036,4032,1.0
1026,2036,3036,4033,1.0
1026,2036,3036,4034,1.0
1026,2036,3036,4035,1.0
1026,2036,3036,4036,1.0
1026,2036,3036,4037,1.0
1026,2036,3036,4038,1.0
1026,2036,3036,4039,1.0
1026,2036,3036,4040,1.0
1027,2036,3036,4001,1.0
1027,2036,3036,4002,1.0
1027,2036,3036,4003,1.0
1027,2036,3036,4004,1.0
1027,2036,3036,4005,1.0
1027,2036,3036,4006,1.0
1027,2036,3036,4007,1.0
1027,2036,3036,4008,1.0
1027,2036,3036,4009,1.0
1027,2036,3036,4010,1.0
1027,2036,3036,4011,1.0
1027,2036,3036,4012,1.0
1027,2036,3036,4013,1.0
1027,2036,3036,4014,1.0
1027,2036,3036,4015,1.0
1027,2036,3036,4016,1.0
1027,2036,3036,4017,1.0
1027,2036,3036,4018,1.0
1027,2036,3036,4019,1.0
1027,2036,3036,4020,1.0
1027,2036,3036,4021,1.0
1027,2036,3036,4022,1.0
1027,2036,3036,4023,1.0
1027,2036,3036,4024,1.0
1027,2036,3036,4025,1.0
1027,2036,3036,4026,1.0
1027,2036,3036,4027,1.0
1027,2036,3036,4028,1.0
1027,2036,3036,4029,1.0
1027,2036,3036,4030,1.0
1027,2036,3036,4031,1.0
1027,2036,3036,4032,1.0
1027,2036,3036,4033,1.0
1027,2036,3036,4034,1.0
1027,2036,3036,4035,1.0
1027,2036,3036,4036,1.0
1027,2036,3036,4037,1.0
1027,2036,3036,4038,1.0
1027,2036,3036,4039,1.0
1027,2036,3036,4040,1.0
1028,2036,3036,4001,1.0
1028,2036,3036,4002,1.0
1028,2036,3036,4003,1.0
1028,2036,3036,4004,1.0
1028,2036,3036,4005,1.0
1028,2036,3036,4006,1.0
1028,2036,3036,4007,1.0
1028,2036,3036,4008,1.0
1028,2036,3036,4009,1.0
1028,2036,3036,4010,1.0
1028,2036,3036,4011,1.0
1028,2036,3036,4012,1.0
1028,2036,3036,4013,1.0
1028,2036,3036,4014,1.0
1028,2036,3036,4015,1.0
1028,2036,3036,4016,1.0
1028,2036,3036,4017,1.0
1028,2036,3036,4018,1.0
1028,2036,3036,4019,1.0
1028,2036,3036,4020,1.0
1028,2036,3036,4021,1.0
1028,2036,3036,4022,1.0
1028,2036,3036,4023,1.0
1028,2036,3036,4024,1.0
1028,2036,3036,4025,1.0
1028,2036,3036,4026,1.0
1028,2036,3036,4027,1.0
1028,2036,3036,4028,1.0
1028,2036,3036,4029,1.0
1028,2036,3036,4030,1.0
1028,2036,3036,4031,1.0
1028,2036,3036,4032,1.0
1028,2036,3036,4033,1.0
1028,2036,3036,4034,1.0
1028,2036,3036,4035,1.0
1028,2036,3036,4036,1.0
1028,2036,3036,4037,1.0
1028,2036,3036,4038,1.0
1028,2036,3036,4039,1.0
1028,2036,3036,4040,1.0
1029,2036,3036,4001,1.0
1029,2036,3036,4002,1.0
1029,2036,3036,4003,1.0
1029,2036,3036,4004,1.0
1029,2036,3036,4005,1.0
1029,2036,3036,4006,1.0
1029,2036,3036,4007,1.0
1029,2036,3036,4008,1.0
1029,2036,3036,4009,1.0
1029,2036,3036,4010,1.0
1029,2036,3036,4011,1.0
1029,2036,3036,4012,1.0
1029,2036,3036,4013,1.0
1029,2036,3036,4014,1.0
1029,2036,3036,4015,1.0
1029,2036,3036,4016,1.0
1029,2036,3036,4017,1.0
1029,2036,3036,4018,1.0
1029,2036,3036,4019,1.0
1029,2036,3036,4020,1.0
1029,2036,3036,4021,1.0
1029,2036,3036,4022,1.0
1029,2036,3036,4023,1.0
1029,2036,3036,4024,1.0
1029,2036,3036,4025,1.0
1029,2036,3036,4026,1.0
1029,2036,3036,4027,1.0
1029,2036,3036,4028,1.0
1029,2036,3036,4029,1.0
1029,2036,3036,4030,1.0
1029,2036,3036,4031,1.0
1029,2036,3036,4032,1.0
1029,2036,3036,4033,1.0
1029,2036,3036,4034,1.0
1029,2036,3036,4035,1.0
1029,2036,3036,4036,1.0
1029,2036,3036,4037,1.0
1029,2036,3036,4038,1.0
1029,2036,3036,4039,1.0
1029,2036,3036,4040,1.0
1030,2036,3036,4001,1.0
1030,2036,3036,4002,1.0
1030,2036,3036,4003,1.0
1030,2036,3036,4004,1.0
1030,2036,3036,4005,1.0
1030,2036,3036,4006,1.0
1030,2036,3036,4007,1.0
1030,2036,3036,4008,1.0
1030,2036,3036,4009,1.0
1030,2036,3036,4010,1.0
1030,2036,3036,4011,1.0
1030,2036,3036,4012,1.0
1030,2036,3036,4013,1.0
1030,2036,3036,4014,1.0
1030,2036,3036,4015,1.0
1030,2036,3036,4016,1.0
1030,2036,3036,4017,1.0
1030,2036,3036,4018,1.0
1030,2036,3036,4019,1.0
1030,2036,3036,4020,1.0
1030,2036,3036,4021,1.0
1030,2036,3036,4022,1.0
1030,2036,3036,4023,1.0
1030,2036,3036,4024,1.0
1030,2036,3036,4025,1.0
1030,2036,3036,4026,1.0
1030,2036,3036,4027,1.0
1030,2036,3036,4028,1.0
1030,2036,3036,4029,1.0
1030,2036,3036,4030,1.0
1030,2036,3036,4031,1.0
1030,2036,3036,4032,1.0
1030,2036,3036,4033,1.0
1030,2036,3036,4034,1.0
1030,2036,3036,4035,1.0
1030,2036,3036,4036,1.0
1030,2036,3036,4037,1.0
1030,2036,3036,4038,1.0
1030,2036,3036,4039,1.0
1030,2036,3036,4040,1.0
1031,2036,3036,4001,1.0
1031,2036,3036,4002,1.0
1031,2036,3036,4003,1.0
1031,2036,3036,4004,1.0
1031,2036,3036,4005,1.0
1031,2036,3036,4006,1.0
1031,2036,3036,4007,1.0
1031,2036,3036,4008,1.0
1031,2036,3036,4009,1.0
1031,2036,3036,4010,1.0
1031,2036,3036,4011,1.0
1031,2036,3036,4012,1.0
1031,2036,3036,4013,1.0
1031,2036,3036,4014,1.0
1031,2036,3036,4015,1.0
1031,2036,3036,4016,1.0
1031,2036,3036,4017,1.0
1031,2036,3036,4018,1.0
1031,2036,3036,4019,1.0
1031,2036,3036,4020,1.0
1031,2036,3036,4021,1.0
1031,2036,3036,4022,1.0
1031,2036,3036,4023,1.0
1031,2036,3036,4024,1.0
1031,2036,3036,4025,1.0
1031,2036,3036,4026,1.0
1031,2036,3036,4027,1.0
1031,2036,3036,4028,1.0
1031,2036,3036,4029,1.0
1031,2036,3036,4030,1.0
1031,2036,3036,4031,1.0
1031,2036,3036,4032,1.0
1031,2036,3036,4033,1.0
1031,2036,3036,4034,1.0
1031,2036,3036,4035,1.0
1031,2036,3036,4036,1.0
1031,2036,3036,4037,1.0
1031,2036,3036,4038,1.0
1031,2036,3036,4039,1.0
1031,2036,3036,4040,1.0
1032,2036,3036,4001,1.0
1032,2036,3036,4002,1.0
1032,2036,3036,4003,1.0
1032,2036,3036,4004,1.0
1032,2036,3036,4005,1.0
1032,2036,3036,4006,1.0
1032,2036,3036,4007,1.0
1032,2036,3036,4008,1.0
1032,2036,3036,4009,1.0
1032,2036,3036,4010,1.0
1032,2036,3036,4011,1.0
1032,2036,3036,4012,1.0
1032,2036,3036,4013,1.0
1032,2036,3036,4014,1.0
1032,2036,3036,4015,1.0
1032,2036,3036,4016,1.0
1032,2036,3036,4017,1.0
1032,2036,3036,4018,1.0
1032,2036,3036,4019,1.0
1032,2036,3036,4020,1.0
1032,2036,3036,4021,1.0
1032,2036,3036,4022,1.0
1032,2036,3036,4023,1.0
1032,2036,3036,4024,1.0
1032,2036,3036,4025,1.0
1032,2036,3036,4026,1.0
1032,2036,3036,4027,1.0
1032,2036,3036,4028,1.0
1032,2036,3036,4029,1.0
1032,2036,3036,4030,1.0
1032,2036,3036,4031,1.0
1032,2036,3036,4032,1.0
1032,2036,3036,4033,1.0
1032,2036,3036,4034,1.0
1032,2036,3036,4035,1.0
1032,2036,3036,4036,1.0
1032,2036,3036,4037,1.0
1032,2036,3036,4038,1.0
1032,2036,3036,4039,1.0
1032,2036,3036,4040,1.0
1033,2036,3036,4001,1.0
1033,2036,3036,4002,1.0
1033,2036,3036,4003,1.0
1033,2036,3036,4004,1.0
1033,2036,3036,4005,1.0
1033,2036,3036,4006,1.0
1033,2036,3036,4007,1.0
1033,2036,3036,4008,1.0
1033,2036,3036,4009,1.0
1033,2036,3036,4010,1.0
1033,2036,3036,4011,1.0
1033,2036,3036,4012,1.0
1033,2036,3036,4013,1.0
1033,2036,3036,4014,1.0
1033,2036,3036,4015,1.0
1033,2036,3036,4016,1.0
1033,2036,3036,4017,1.0
1033,2036,3036,4018,1.0
1033,2036,3036,4019,1.0
1033,2036,3036,4020,1.0
1033,2036,3036,4021,1.0
1033,2036,3036,4022,1.0
1033,2036,3036,4023,1.0
1033,2036,3036,4024,1.0
1033,2036,3036,4025,1.0
1033,2036,3036,4026,1.0
1033,2036,3036,4027,1.0
1033,2036,3036,4028,1.0
1033,2036,3036,4029,1.0
1033,2036,3036,4030,1.0
1033,2036,3036,4031,1.0
1033,2036,3036,4032,1.0
1033,2036,3036,4033,1.0
1033,2036,3036,4034,1.0
1033,2036,3036,4035,1.0
1033,2036,3036,4036,1.0
1033,2036,3036,4037,1.0
1033,2036,3036,4038,1.0
1033,2036,3036,4039,1.0
1033,2036,3036,4040,1.0
1034,2036,3036,4001,1.0
1034,2036,3036,4002,1.0
1034,2036,3036,4003,1.0
1034,2036,3036,4004,1.0
1034,2036,3036,4005,1.0
1034,2036,3036,4006,1.0
1034,2036,3036,4007,1.0
1034,2036,3036,4008,1.0
1034,2036,3036,4009,1.0
1034,2036,3036,4010,1.0
1034,2036,3036,4011,1.0
1034,2036,3036,4012,1.0
1034,2036,3036,4013,1.0
1034,2036,3036,4014,1.0
1034,2036,3036,4015,1.0
1034,2036,3036,4016,1.0
1034,2036,3036,4017,1.0
1034,2036,3036,4018,1.0
1034,2036,3036,4019,1.0
1034,2036,3036,4020,1.0
1034,2036,3036,4021,1.0
1034,2036,3036,4022,1.0
1034,2036,3036,4023,1.0
1034,2036,3036,4024,1.0
1034,2036,3036,4025,1.0
1034,2036,3036,4026,1.0
1034,2036,3036,4027,1.0
1034,2036,3036,4028,1.0
1034,2036,3036,4029,1.0
1034,2036,3036,4030,1.0
1034,2036,3036,4031,1.0
1034,2036,3036,4032,1.0
1034,2036,3036,4033,1.0
1034,2036,3036,4034,1.0
1034,2036,3036,4035,1.0
1034,2036,3036,4036,1.0
1034,2036,3036,4037,1.0
1034,2036,3036,4038,1.0
1034,2036,3036,4039,1.0
1034,2036,3036,4040,1.0
1035,2036,3036,4001,1.0
1035,2036,3036,4002,1.0
1035,2036,3036,4003,1.0
1035,2036,3036,4004,1.0
1035,2036,3036,4005,1.0
1035,2036,3036,4006,1.0
1035,2036,3036,4007,1.0
1035,2036,3036,4008,1.0
1035,2036,3036,4009,1.0
1035,2036,3036,4010,1.0
1035,2036,3036,4011,1.0
1035,2036,3036,4012,1.0
1035,2036,3036,4013,1.0
1035,2036,3036,4014,1.0
1035,2036,3036,4015,1.0
1035,2036,3036,4016,1.0
1035,2036,3036,4017,1.0
1035,2036,3036,4018,1.0
1035,2036,3036,4019,1.0
1035,2036,3036,4020,1.0
1035,2036,3036,4021,1.0
1035,2036,3036,4022,1.0
1035,2036,3036,4023,1.0
1035,2036,3036,4024,1.0
1035,2036,3036,4025,1.0
1035,2036,3036,4026,1.0
1035,2036,3036,4027,1.0
1035,2036,3036,4028,1.0
1035,2036,3036,4029,1.0
1035,2036,3036,4030,1.0
1035,2036,3036,4031,1.0
1035,2036,3036,4032,1.0
1035,2036,3036,4033,1.0
1035,2036,3036,4034,1.0
1035,2036,3036,4035,1.0
1035,2036,3036,4036,1.0
1035,2036,3036,4037,1.0
1035,2036,3036,4038,1.0
1035,2036,3036,4039,1.0
1035,2036,3036,4040,1.0
1036,2036,3036,4001,1.0
1036,2036,3036,4002,1.0
1036,2036,3036,4003,1.0
1036,2036,3036,4004,1.0
1036,2036,3036,4005,1.0
1036,2036,3036,4006,1.0
1036,2036,3036,4007,1.0
1036,2036,3036,4008,1.0
1036,2036,3036,4009,1.0
1036,2036,3036,4010,1.0
1036,2036,3036,4011,1.0
1036,2036,3036,4012,1.0
1036,2036,3036,4013,1.0
1036,2036,3036,4014,1.0
1036,2036,3036,4015,1.0
1036,2036,3036,4016,1.0
1036,2036,3036,4017,1.0
1036,2036,3036,4018,1.0
1036,2036,3036,4019,1.0
1036,2036,3036,4020,1.0
1036,2036,3036,4021,1.0
1036,2036,3036,4022,1.0
1036,2036,3036,4023,1.0
1036,2036,3036,4024,1.0
1036,2036,3036,4025,1.0
1036,2036,3036,4026,1.0
1036,2036,3036,4027,1.0
1036,2036,3036,4028,1.0
1036,2036,3036,4029,1.0
1036,2036,3036,4030,1.0
1036,2036,3036,4031,1.0
1036,2036,3036,4032,1.0
1036,2036,3036,4033,1.0
1036,2036,3036,4034,1.0
1036,2036,3036,4035,1.0
1036,2036,3036,4036,1.0
1036,2036,3036,4037,1.0
1036,2036,3036,4038,1.0
1036,2036,3036,4039,1.0
1036,2036,3036,4040,1.0
1037,2036,3036,4001,1.0
1037,2036,3036,4002,1.0
1037,2036,3036,4003,1.0
1037,2036,3036,4004,1.0
1037,2036,3036,4005,1.0
1037,2036,3036,4006,1.0
1037,2036,3036,4007,1.0
1037,2036,3036,4008,1.0
1037,2036,3036,4009,1.0
1037,2036,3036,4010,1.0
1037,2036,3036,4011,1.0
1037,2036,3036,4012,1.0
1037,2036,3036,4013,1.0
1037,2036,3036,4014,1.0
1037,2036,3036,4015,1.0
1037,2036,3036,4016,1.0
1037,2036,3036,4017,1.0
1037,2036,3036,4018,1.0
1037,2036,3036,4019,1.0
1037,2036,3036,4020,1.0
1037,2036,3036,4021,1.0
1037,2036,3036,4022,1.0
1037,2036,3036,4023,1.0
1037,2036,3036,4024,1.0
1037,2036,3036,4025,1.0
1037,2036,3036,4026,1.0
1037,2036,3036,4027,1.0
1037,2036,3036,4028,1.0
1037,2036,3036,4029,1.0
1037,2036,3036,4030,1.0
1037,2036,3036,4031,1.0
1037,2036,3036,4032,1.0
1037,2036,3036,4033,1.0
1037,2036,3036,4034,1.0
1037,2036,3036,4035,1.0
1037,2036,3036,4036,1.0
1037,2036,3036,4037,1.0
1037,2036,3036,4038,1.0
1037,2036,3036,4039,1.0
1037,2036,3036,4040,1.0
1038,2036,3036,4001,1.0
1038,2036,3036,4002,1.0
1038,2036,3036,4003,1.0
1038,2036,3036,4004,1.0
1038,2036,3036,4005,1.0
1038,2036,3036,4006,1.0
1038,2036,3036,4007,1.0
1038,2036,3036,4008,1.0
1038,2036,3036,4009,1.0
1038,2036,3036,4010,1.0
1038,2036,3036,4011,1.0
1038,2036,3036,4012,1.0
1038,2036,3036,4013,1.0
1038,2036,3036,4014,1.0
1038,2036,3036,4015,1.0
1038,2036,3036,4016,1.0
1038,2036,3036,4017,1.0
1038,2036,3036,4018,1.0
1038,2036,3036,4019,1.0
1038,2036,3036,4020,1.0
1038,2036,3036,4021,1.0
1038,2036,3036,4022,1.0
1038,2036,3036,4023,1.0
1038,2036,3036,4024,1.0
1038,2036,3036,4025,1.0
1038,2036,3036,4026,1.0
1038,2036,3036,4027,1.0
1038,2036,3036,4028,1.0
1038,2036,3036,4029,1.0
1038,2036,3036,4030,1.0
1038,2036,3036,4031,1.0
1038,2036,3036,4032,1.0
1038,2036,3036,4033,1.0
1038,2036,3036,4034,1.0
1038,2036,3036,4035,1.0
1038,2036,3036,4036,1.0
1038,2036,3036,4037,1.0
1038,2036,3036,4038,1.0
1038,2036,3036,4039,1.0
1038,2036,3036,4040,1.0
1039,2036,3036,4001,1.0
1039,2036,3036,4002,1.0
1039,2036,3036,4003,1.0
1039,2036,3036,4004,1.0
1039,2036,3036,4005,1.0
1039,2036,3036,4006,1.0
1039,2036,3036,4007,1.0
1039,2036,3036,4008,1.0
1039,2036,3036,4009,1.0
1039,2036,3036,4010,1.0
1039,2036,3036,4011,1.0
1039,2036,3036,4012,1.0
1039,2036,3036,4013,1.0
1039,2036,3036,4014,1.0
1039,2036,3036,4015,1.0
1039,2036,3036,4016,1.0
1039,2036,3036,4017,1.0
1039,2036,3036,4018,1.0
1039,2036,3036,4019,1.0
1039,2036,3036,4020,1.0
1039,2036,3036,4021,1.0
1039,2036,3036,4022,1.0
1039,2036,3036,4023,1.0
1039,2036,3036,4024,1.0
1039,2036,3036,4025,1.0
1039,2036,3036,4026,1.0
1039,2036,3036,4027,1.0
1039,2036,3036,4028,1.0
1039,2036,3036,4029,1.0
1039,2036,3036,4030,1.0
1039,2036,3036,4031,1.0
1039,2036,3036,4032,1.0
1039,2036,3036,4033,1.0
1039,2036,3036,4034,1.0
1039,2036,3036,4035,1.0
1039,2036,3036,4036,1.0
1039,2036,3036,4037,1.0
1039,2036,3036,4038,1.0
1039,2036,3036,4039,1.0
1039,2036,3036,4040,1.0
1040,2036,3036,4001,1.0
1040,2036,3036,4002,1.0
1040,2036,3036,4003,1.0
1040,2036,3036,4004,1.0
1040,2036,3036,4005,1.0
1040,2036,3036,4006,1.0
1040,2036,3036,4007,1.0
1040,2036,3036,4008,1.0
1040,2036,3036,4009,1.0
1040,2036,3036,4010,1.0
1040,2036,3036,4011,1.0
1040,2036,3036,4012,1.0
1040,2036,3036,4013,1.0
1040,2036,3036,4014,1.0
1040,2036,3036,4015,1.0
1040,2036,3036,4016,1.0
1040,2036,3036,4017,1.0
1040,2036,3036,4018,1.0
1040,2036,3036,4019,1.0
1040,2036,3036,4020,1.0
1040,2036,3036,4021,1.0
1040,2036,3036,4022,1.0
1040,2036,3036,4023,1.0
1040,2036,3036,4024,1.0
1040,2036,3036,4025,1.0
1040,2036,3036,4026,1.0
1040,2036,3036,4027,1.0
1040,2036,3036,4028,1.0
1040,2036,3036,4029,1.0
1040,2036,3036,4030,1.0
1040,2036,3036,4031,1.0
1040,2036,3036,4032,1.0
1040,2036,3036,4033,1.0
1040,2036,3036,4034,1.0
1040,2036,3036,4035,1.0
1040,2036,3036,4036,1.0
1040,2036,3036,4037,1.0
1040,2036,3036,4038,1.0
1040,2036,3036,4039,1.0
1040,2036,3036,4040,1.0
